"","measured_percentN","Measured_Chl","measured_SLA","measured_Vmax","Measured_Sucrose","Wave_500","Wave_1600","Wave_2400"
"192",1.53,14.73,NA,NA,NA,0.071063369,0.28438396,0.089421748
"193",2.03,18.58,NA,NA,NA,0.069259296,0.285492849,0.089208466
"194",1.68,17.72,NA,NA,NA,0.058394521,0.28159706,0.082586986
"195",1.96,17.69,NA,21.23,NA,0.065150125,0.282116654,0.08912159
"196",1.82,15.71,NA,24.1826,NA,0.060193729,0.272122935,0.080176895
"197",1.5,14.58,NA,13.27,NA,0.071238557,0.27888476,0.082545234
"198",1.57,21.19,NA,24.82,NA,0.076862838,0.291214686,0.090434106
"199",1.78,14.05,NA,NA,NA,0.071128223,0.290928763,0.090554933
"200",1.86,17.95,NA,NA,NA,0.078154605,0.29837463,0.097361624
"201",1.66,15.06,NA,NA,NA,0.071370278,0.273299265,0.084574879
"202",1.62,11.75,NA,14.41,NA,0.072609075,0.281005819,0.086928921
"203",NA,15.05,NA,NA,NA,0.078758111,0.297095165,0.0971898
"204",1.55,9.81,NA,15.91,NA,0.071220785,0.282474177,0.092123524
"205",1.4,15.99,NA,NA,NA,0.074311501,0.289944475,0.098854329
"206",1.7,16.62,NA,15.73,NA,0.075567597,0.279835797,0.089605106
"207",1.62,14.25,NA,24.47,NA,0.065618236,0.273942467,0.081808603
"208",1.93,21.14,NA,NA,NA,0.048433514,0.266843102,0.069089279
"209",1.84,17.49,NA,NA,NA,0.062379831,0.283581434,0.084512115
"210",1.63,14.39,NA,NA,NA,0.06709797,0.28391791,0.08462969
"211",1.76,16.76,NA,29.3,NA,0.075051256,0.298236524,0.093105729
"212",4.38,49.22,NA,35.92,NA,0.050509752,0.269725023,0.073344056
"213",NA,34.28,NA,42.82,NA,0.063706693,0.281045796,0.081446918
"214",4.14,42.72,NA,39.59,NA,0.060435992,0.274547262,0.07858773
"215",4.36,49.38,NA,36.72,NA,0.070356489,0.281799614,0.085801596
"216",NA,40.91,NA,NA,NA,0.051492905,0.266212087,0.072987333
"217",NA,29.4,NA,43.54,NA,0.065906842,0.279576277,0.08398091
"218",NA,45.16,NA,37.07,NA,0.062713666,0.271596998,0.082092839
"219",NA,34.19,NA,NA,NA,0.063069208,0.286176146,0.09253755
"220",3.76,38.85,NA,40.51,NA,0.061803879,0.274568012,0.082554859
"221",4.03,35.21,NA,37.36,NA,0.059032595,0.280893818,0.079708166
"222",3.81,40.78,NA,31.8,NA,0.060762524,0.27886063,0.082741011
"223",4.12,41.72,NA,30.17,NA,0.050815138,0.266005456,0.072910093
"224",3.99,24.72,NA,34.75,NA,0.061683372,0.29031911,0.086870264
"225",3.94,45.18,NA,39.57,NA,0.071827719,0.303066699,0.097216581
"226",4.1,25.07,NA,38.61,NA,0.065819555,0.282422515,0.086026288
"227",3.82,41.1,NA,32.61,NA,0.066686863,0.287245972,0.089337903
"228",NA,33.96,NA,43.17,NA,0.061060766,0.284577341,0.08845844
"229",4.5,38.44,NA,40.75,NA,0.060666799,0.289464534,0.088462288
"230",4.32,38.8,NA,38.28,NA,0.061698585,0.291403085,0.089600908
"231",NA,39.39,NA,35.05,NA,0.06839694,0.284551721,0.091182339
"232",NA,39.43,NA,NA,NA,0.065946238,0.289057856,0.092803298
"233",NA,39.56,NA,NA,NA,0.059861812,0.288791649,0.085732817
"234",4.13,27.08,NA,38.57,NA,0.04230274,0.275847483,0.079343548
"235",3.67,33.92,NA,23.6,NA,0.068678603,0.294902387,0.093328905
"236",3.98,42.93,NA,35.5,NA,0.061332242,0.28190096,0.084691662
"237",4.37,48.32,NA,NA,NA,0.065249685,0.298937417,0.094148936
"238",4.09,42.88,NA,35.31,NA,0.061434594,0.279425828,0.081139788
"239",3.87,47.92,NA,35.63,NA,0.06949673,0.285879662,0.091237118
